Date,PAVE,ESGU,BBCA,ESGV,MSOS,JEPI,COWZ,LCTU,XLC,ESGE,ESGD,AVUV,JPST
2016-07-21,,,,,,,,,,0.001459301088430065,,,
2016-07-22,,,,,,,,,,0.0,,,
2016-07-25,,,,,,,,,,-0.005646657389022813,,,
2016-07-26,,,,,,,,,,0.0,,,
2016-07-27,,,,,,,,,,0.0,,,
2016-07-28,,,,,,,,,,0.0093423470015086,,,
2016-07-29,,,,,,,,,,0.0,,,
2016-08-01,,,,,,,,,,0.0,,,
2016-08-02,,,,,,,,,,-0.004537205387460719,,,
2016-08-03,,,,,,,,,,0.0,,,
2016-08-04,,,,,,,,,,0.0,,,
2016-08-05,,,,,,,,,,0.0,,,
2016-08-08,,,,,,,,,,0.03172307568618571,,,
2016-08-09,,,,,,,,,,0.0061141464835905435,,,
2016-08-10,,,,,,,,,,0.003934088887548093,,,
2016-08-11,,,,,,,,,,0.004723618841331989,,,
2016-08-12,,,,,,,,,,0.0,,,
2016-08-15,,,,,,,,,,0.0,,,
2016-08-16,,,,,,,,,,0.0,,,
2016-08-17,,,,,,,,,,0.002524807974115806,,,
2016-08-18,,,,,,,,,,0.0,,,
2016-08-19,,,,,,,,,,0.0006078237290223498,,,
2016-08-22,,,,,,,,,,-0.007116701364923483,,,
2016-08-23,,,,,,,,,,0.004195745629817171,,,
2016-08-24,,,,,,,,,,-0.0076600606553126616,,,
2016-08-25,,,,,,,,,,0.0,,,
2016-08-26,,,,,,,,,,0.0,0.0,,
2016-08-29,,,,,,,,,,-0.004035214432760781,-0.004952225692433143,,
2016-08-30,,,,,,,,,,0.0,0.0,,
2016-08-31,,,,,,,,,,-0.004403489266873062,-0.003199466709991383,,
2016-09-01,,,,,,,,,,0.0028305699584418864,0.0076674269109331394,,
2016-09-02,,,,,,,,,,0.011114980289846699,0.007786311216033459,,
2016-09-06,,,,,,,,,,0.0,0.0,,
2016-09-07,,,,,,,,,,0.02634807519769078,0.0,,
2016-09-08,,,,,,,,,,-0.002890113424048879,0.0,,
2016-09-09,,,,,,,,,,-0.030349779296997004,-0.0093063356074653,,
2016-09-12,,,,,,,,,,-0.014594672864821523,-0.0108117855131461,,
2016-09-13,,,,,,,,,,0.0,-0.002866882665933934,,
2016-09-14,,,,,,,,,,0.0,0.0,,
2016-09-15,,,,,,,,,,0.0,0.0,,
